start_time,end_time,1.0-8.0A_peak_time,1.0-8.0A_peak_val,4-10keV_peak_time,4-10keV_peak_val,10-15keV_peak_time,10-15keV_peak_val,15-25keV_peak_time,15-25keV_peak_val,25-50keV_peak_time,25-50keV_peak_val,50-84keV_peak_time,50-84keV_peak_val,bkg 4-10 keV,bkg 10-15 keV,bkg 15-25 keV,bkg 25-50 keV,bkg 50-84 keV
2021-08-28 12:36:00.000,2021-08-28 13:08:00.000,2021-08-28 12:57:11,1.9529625e-06,2021-08-28 12:42:16.499000,2431,2021-08-28 12:42:08.499000,247,2021-08-28 12:59:20.501000,99,2021-08-28 12:01:44.496000,0,2021-08-28 12:01:44.496000,0,271.0,49.0,67.0,799.0,463.0
2021-09-23 04:17:00.000,2021-09-23 04:35:00.000,2021-09-23 04:32:37,5.4750235e-06,2021-09-23 04:32:07.690000,63487,2021-09-23 04:32:03.690000,5887,2021-09-23 04:30:51.690000,735,2021-09-23 04:06:59.687000,0,2021-09-23 04:06:59.687000,0,247.0,49.0,67.0,799.0,431.0
2021-10-26 03:18:00.000,2021-10-26 03:29:00.000,2021-10-26 03:24:45,2.1383044e-06,2021-10-26 03:23:14.863000,1855,2021-10-26 03:23:14.863000,123,2021-10-26 03:22:06.863000,91,2021-10-26 03:16:10.862000,0,2021-10-26 03:16:10.862000,0,247.0,49.0,67.0,799.0,431.0
2021-10-26 22:45:00.000,2021-10-26 23:00:00.000,2021-10-26 22:52:50,1.2723773e-06,2021-10-26 22:49:48.171000,1983,2021-10-26 22:49:32.171000,215,2021-10-26 22:36:08.170000,91,2021-10-26 22:36:08.170000,0,2021-10-26 22:36:08.170000,0,271.0,49.0,67.0,799.0,431.0
2021-10-27 05:22:00.000,2021-10-27 05:41:00.000,2021-10-27 05:34:57,2.9672176e-06,2021-10-27 05:27:06.956000,11775,2021-10-27 05:26:58.956000,1343,2021-10-27 05:26:58.956000,215,2021-10-27 05:02:46.953000,0,2021-10-27 05:02:46.953000,0,271.0,49.0,67.0,799.0,431.0
2021-10-27 11:49:00.000,2021-10-27 12:08:00.000,2021-10-27 11:59:24,1.7592424e-06,2021-10-27 11:57:18.064000,3711,2021-10-27 11:55:46.064000,431,2021-10-27 11:56:18.064000,151,2021-10-27 11:29:26.061000,0,2021-10-27 11:29:26.061000,0,271.0,49.0,67.0,799.0,431.0
2021-10-27 21:53:00.000,2021-10-27 22:05:00.000,2021-10-27 21:58:51,1.2369125e-06,2021-10-27 21:58:40.472000,1855,2021-10-27 21:57:56.472000,271,2021-10-27 21:57:52.472000,135,2021-10-27 21:48:04.471000,0,2021-10-27 21:48:04.471000,0,271.0,49.0,67.0,799.0,431.0
2021-10-28 12:09:00.000,2021-10-28 12:27:00.000,2021-10-28 12:19:04,1.3114486e-06,2021-10-28 12:21:38.501000,1471,2021-10-28 12:14:02.500000,135,2021-10-28 12:22:58.501000,91,2021-10-28 11:58:42.499000,0,2021-10-28 11:58:42.499000,0,271.0,49.0,67.0,799.0,431.0
2021-12-04 07:14:00.000,2021-12-04 07:31:00.000,2021-12-04 07:24:22,1.6011442e-06,2021-12-04 07:23:34.978000,1087,2021-12-04 07:16:50.977000,115,2021-12-04 07:27:10.978000,91,2021-12-04 07:10:18.977000,0,2021-12-04 07:10:18.977000,0,247.0,49.0,67.0,799.0,431.0
2021-12-05 00:54:00.000,2021-12-05 01:02:00.000,2021-12-05 00:57:31,1.2684563e-06,2021-12-05 00:56:50.177000,1215,2021-12-05 00:56:26.177000,115,2021-12-05 00:56:10.177000,91,2021-12-05 00:34:18.175000,0,2021-12-05 00:34:18.175000,0,247.0,49.0,67.0,799.0,431.0
