trigger_number,GOES_peak,trigger_on,BATSE_table_peak,Thermal_peak,Non-thermal_peak,Smoothed_Thermal_peak,Smoothed_non-thermal_peak
688,71220,71051,71092,71092.59999847412,71092.59999847412,71092.59999847412,71092.59999847412
721,4500,2633,2853,2853.3519897460938,2853.3519897460938,2855.655990600586,2855.8479919433594
901,63480,63243,63283,63283.703998565674,63283.703998565674,63283.703998565674,63283.7679977417
1037,72960,72331,72564,72564.0240020752,72564.34399414062,72564.47200012207,72564.47200012207
2666,22080,21785,21812,21812.263999938965,21812.263999938965,21812.45599937439,21812.45599937439
3395,6660,6424,6608,6610.751998901367,6610.559997558594,6610.68798828125,6610.879989624023
6459,21480,21345,21439,21430.88800048828,21430.88800048828,21430.88800048828,21430.824005126953
6794,3540,3340,3348,3374.9440002441406,3374.8800010681152,3374.9440002441406,3375.135997772217
7006,78300,77961,78030,78030.63200378418,78031.65599822998,78026.5360031128,78025.5120010376
7694,77100,76897,76998,76999.2080001831,76999.84799957275,76999.33600616455,76999.59200286865
1227,39000,38855,38863,38873.81599998474,38873.81599998474,38864.34399986267,38864.40799999237
1240,62160,62173,62195,62195.847999572754,62195.847999572754,62195.591999053955,62195.39999961853
2274,30840,30754,30790,30789.840000152588,30789.840000152588,30789.96799850464,30789.96799850464
2555,27720,27580,27606,27606.624000549316,27606.624000549316,27611.7439994812,27611.7439994812
7482,30660,30527,30599,30599.768005371094,30545.303998947144,30599.44800567627,30547.223999023438
7881,4980,4754,4797,4797.520000457764,4797.32799911499,4800.14400100708,4797.263999938965
7914,68640,68084,68534,68534.11199951172,68534.04800415039,68534.04800415039,68534.11199951172
8011,8040,7891,7953,7953.015998840332,7953.591999053955,7953.14400100708,7953.464000701904
8016,55800,55556,55842,55842.335998535156,55842.2080078125,55842.2080078125,55842.2080078125
1234,77940,77759,77817,77817.88000106812,77817.62400054932,77817.68799972534,77817.49599838257
