goes_start_time,goes_end_time,stix_start_time,stix_end_time
2021-05-07 18:43:00.000,2021-05-07 19:19:00.000,2021-05-07T18:45:55.192,2021-05-07T20:03:23.200
2021-05-22 17:03:00.000,2021-05-22 17:16:00.000,2021-05-22T17:04:58.929,2021-05-22T17:44:58.933
2021-05-22 21:30:00.000,2021-05-22 21:43:00.000,2021-05-22T21:30:06.956,2021-05-22T22:13:42.960
2021-05-23 11:00:00.000,2021-05-23 11:14:00.000,2021-05-23T10:30:51.033,2021-05-23T11:27:15.039
2021-08-28 05:39:00.000,2021-08-28 06:23:00.000,2021-08-28T05:44:56.581,2021-08-28T05:49:52.581
2021-09-23 04:35:00.000,2021-09-23 04:50:00.000,2021-09-23T04:18:40.123,2021-09-23T05:27:52.130
2021-09-23 15:23:00.000,2021-09-23 15:39:00.000,2021-09-23T15:20:04.190,2021-09-23T16:39:08.201
2021-10-09 06:19:00.000,2021-10-09 06:53:00.000,2021-10-09T06:21:48.409,2021-10-09T07:33:48.317
2021-10-26 02:40:00.000,2021-10-26 02:54:00.000,2021-10-26T02:38:51.577,2021-10-26T03:01:23.579
2021-10-28 07:30:00.000,2021-10-28 07:45:00.000,2021-10-28T07:32:11.400,2021-10-28T08:13:35.404
2021-10-28 10:19:00.000,2021-10-28 10:37:00.000,2021-10-28T10:18:43.417,2021-10-28T11:16:03.423
2021-10-28 15:17:00.000,2021-10-28 15:48:00.000,2021-10-28T15:18:15.447,2021-10-28T15:45:15.450
2021-11-01 00:57:00.000,2021-11-01 02:10:00.000,2021-11-01T01:05:08.047,2021-11-01T01:15:48.048
2021-11-09 15:47:00.000,2021-11-09 17:37:00.000,2021-11-09T16:00:47.711,2021-11-09T16:10:39.712
2021-12-05 06:58:00.000,2021-12-05 07:36:00.000,2021-12-05T07:03:19.975,2021-12-05T08:21:59.983
2021-12-17 00:39:00.000,2021-12-17 00:56:00.000,2021-12-17T00:44:12.390,2021-12-17T01:21:16.393
2021-12-20 11:12:00.000,2021-12-20 11:55:00.000,2021-12-20T11:16:24.088,2021-12-20T12:31:40.095
2021-12-21 07:43:00.000,2021-12-21 07:57:00.000,2021-12-21T07:43:48.112,2021-12-21T08:22:36.116
2021-12-21 11:31:00.000,2021-12-21 11:49:00.000,2021-12-21T11:31:40.136,2021-12-21T12:23:40.143
2021-12-22 06:54:00.000,2021-12-22 07:21:00.000,2021-12-22T06:58:52.254,2021-12-22T08:03:12.161
2021-12-28 03:50:00.000,2021-12-28 04:10:00.000,2021-12-28T03:48:20.113,2021-12-28T04:58:12.121
2021-12-28 15:59:00.000,2021-12-28 16:20:00.000,2021-12-28T16:01:08.188,2021-12-28T17:10:28.196
2022-01-01 07:07:00.000,2022-01-01 07:42:00.000,2022-01-01T07:09:48.219,2022-01-01T08:09:40.225
2022-01-14 01:47:00.000,2022-01-14 02:14:00.000,2022-01-14T01:56:12.191,2022-01-14T02:10:04.192
2022-01-18 17:01:00.000,2022-01-18 18:17:00.000,2022-01-18T17:28:07.965,2022-01-18T17:53:39.968
2022-01-20 05:41:00.000,2022-01-20 06:12:00.000,2022-01-20T05:46:35.887,2022-01-20T07:03:27.895
2022-01-29 22:32:00.000,2022-01-30 00:32:00.000,2022-01-29T22:44:00.621,2022-01-30T00:13:24.630
2022-02-12 08:25:00.000,2022-02-12 08:56:00.000,2022-02-12T08:28:56.111,2022-02-12T09:29:40.118
2022-02-15 17:54:00.000,2022-02-15 18:31:00.000,2022-02-15T18:00:07.916,2022-02-15T18:27:07.919
2022-03-02 17:31:00.000,2022-03-02 17:47:00.000,2022-03-02T17:30:36.150,2022-03-02T17:58:48.152
2022-03-11 22:13:00.000,2022-03-11 22:38:00.000,2022-03-11T22:09:40.131,2022-03-11T23:17:32.138
2022-03-14 08:29:00.000,2022-03-14 08:45:00.000,2022-03-14T08:30:51.897,2022-03-14T09:25:59.902
2022-03-15 12:33:00.000,2022-03-15 12:44:00.000,2022-03-15T12:29:51.872,2022-03-15T13:40:59.779
2022-03-15 22:39:00.000,2022-03-15 22:52:00.000,2022-03-15T22:37:07.745,2022-03-15T23:53:03.753
2022-03-25 05:02:00.000,2022-03-25 05:50:00.000,2022-03-25T05:02:43.956,2022-03-25T06:23:27.964
2022-03-28 10:58:00.000,2022-03-28 11:45:00.000,2022-03-28T10:55:28.252,2022-03-28T12:29:48.262
2022-03-28 20:49:00.000,2022-03-28 21:09:00.000,2022-03-28T20:45:12.315,2022-03-28T21:07:52.317
2022-03-29 00:57:00.000,2022-03-29 01:26:00.000,2022-03-29T00:55:44.341,2022-03-29T01:36:16.345
2022-03-29 01:48:00.000,2022-03-29 02:03:00.000,2022-03-29T01:47:40.347,2022-03-29T01:56:16.348
2022-03-29 21:43:00.000,2022-03-29 21:57:00.000,2022-03-29T21:38:19.973,2022-03-29T22:01:07.976
2022-03-30 17:21:00.000,2022-03-30 17:46:00.000,2022-03-30T17:18:23.999,2022-03-30T17:26:16.000
2022-03-31 18:17:00.000,2022-03-31 18:45:00.000,2022-03-31T18:20:44.158,2022-03-31T18:23:40.158
2022-04-02 02:39:00.000,2022-04-02 03:07:00.000,2022-04-02T02:17:40.579,2022-04-02T03:31:12.614
2022-04-02 12:56:00.000,2022-04-02 14:44:00.000,2022-04-02T12:55:16.427,2022-04-02T12:57:24.427
2022-04-02 17:34:00.000,2022-04-02 17:51:00.000,2022-04-02T17:32:32.456,2022-04-02T18:08:40.460
